X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.4911469995525,41.5812889999559,618419,NEC-1659-03,,Wickford Junction,Wickford Junction - Commuter Rail - Track 3 (All Trains),3,Track 3 (All Trains),41.581289,-71.491147,CR-zone-10,,https://www.mbta.com/stops/place-NEC-1659,,0,place-NEC-1659,1,North Kingstown,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.4424530004059,41.7265990000663,618421,NEC-1768-03,,TF Green Airport,TF Green Airport - Commuter Rail - Track 3 (All Trains),3,Track 3 (All Trains),41.726599,-71.442453,CR-zone-9,,https://www.mbta.com/stops/place-NEC-1768,,0,place-NEC-1768,1,Warwick,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.4133009999835,41.829293000336,618423,NEC-1851,,Providence,Providence - Commuter Rail,,Commuter Rail,41.829293,-71.413301,CR-zone-8,,https://www.mbta.com/stops/place-NEC-1851,,0,place-NEC-1851,1,Providence,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.4133009999835,41.829293000336,618424,NEC-1851-01,,Providence,Providence - Commuter Rail - Track 1,1,Track 1,41.829293,-71.413301,CR-zone-8,,https://www.mbta.com/stops/place-NEC-1851,,0,place-NEC-1851,1,Providence,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.4133009999835,41.829293000336,618425,NEC-1851-02,,Providence,Providence - Commuter Rail - Track 2,2,Track 2,41.829293,-71.413301,CR-zone-8,,https://www.mbta.com/stops/place-NEC-1851,,0,place-NEC-1851,1,Providence,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.4133009999835,41.829293000336,618426,NEC-1851-03,,Providence,Providence - Commuter Rail - Track 3,3,Track 3,41.829293,-71.413301,CR-zone-8,,https://www.mbta.com/stops/place-NEC-1851,,0,place-NEC-1851,1,Providence,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.4133009999835,41.829293000336,618427,NEC-1851-05,,Providence,Providence - Commuter Rail - Track 5,5,Track 5,41.829293,-71.413301,CR-zone-8,,https://www.mbta.com/stops/place-NEC-1851,,0,place-NEC-1851,1,Providence,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.354621000456,41.8979429996079,618429,NEC-1919,,South Attleboro,South Attleboro - Commuter Rail,,Commuter Rail,41.897943,-71.354621,CR-zone-7,,https://www.mbta.com/stops/place-NEC-1919,,0,place-NEC-1919,1,Attleboro,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.354621000456,41.8979429996079,618430,NEC-1919-01,,South Attleboro,South Attleboro - Commuter Rail - Track 1 (Outbound),1,Track 1 (Outbound),41.897943,-71.354621,CR-zone-7,,https://www.mbta.com/stops/place-NEC-1919,,0,place-NEC-1919,1,Attleboro,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.354621000456,41.8979429996079,618431,NEC-1919-02,,South Attleboro,South Attleboro - Commuter Rail - Track 2 (Boston),2,Track 2 (Boston),41.897943,-71.354621,CR-zone-7,,https://www.mbta.com/stops/place-NEC-1919,,0,place-NEC-1919,1,Attleboro,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
