mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,stop_time,stop_name,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 16:47:00+00,West Medford,place-NHRML-0055,8,20,0,68,2038
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:00:00+00,North Station,place-north,9,,68,,2039
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:15:00+00,Lowell,place-NHRML-0254,1,48,,48,2040
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:23:00+00,North Billerica,place-NHRML-0218,2,5,4,49,2041
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:31:00+00,Wilmington,place-NHRML-0152,3,1,0,50,2042
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 11:05:00+00,Wedgemere,place-NHRML-0073,7,12,0,295,2043
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 14:22:00+00,South Weymouth,place-PB-0158,5,2,3,13,2044
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 19:43:00+00,Hanson,place-PB-0245,4,1,0,14,2045
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:36:00+00,Anderson/Woburn,place-NHRML-0127,4,3,0,53,2046
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:43:00+00,Winchester Center,place-NHRML-0078,6,0,0,53,2047
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:44:00+00,Wedgemere,place-NHRML-0073,7,0,0,53,2048
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 17:47:00+00,West Medford,place-NHRML-0055,8,2,6,49,2049
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:00:00+00,North Station,place-north,9,,49,,2050
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:18:00+00,Lowell,place-NHRML-0254,1,38,,38,2051
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:26:00+00,North Billerica,place-NHRML-0218,2,7,3,42,2052
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:34:00+00,Wilmington,place-NHRML-0152,3,4,1,45,2053
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:39:00+00,Anderson/Woburn,place-NHRML-0127,4,6,2,49,2054
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:46:00+00,Winchester Center,place-NHRML-0078,6,5,2,52,2055
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:47:00+00,Wedgemere,place-NHRML-0073,7,4,0,56,2056
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 18:50:00+00,West Medford,place-NHRML-0055,8,3,2,57,2057
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/01 23:39:00+00,Reading,place-WR-0120,8,,94,,2058
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/01 23:40:00+00,Wyoming Hill,place-WR-0062,3,7,0,350,2059
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 14:27:00+00,Abington,place-PB-0194,6,0,2,11,2060
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 22:51:00+00,Quincy Center,place-qnctr,3,7,102,664,2061
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 19:48:00+00,Whitman,place-PB-0212,5,3,0,17,2062
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 11:09:00+00,West Medford,place-NHRML-0055,8,30,0,325,2063
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/01 23:42:00+00,Melrose Cedar Park,place-WR-0067,4,0,14,336,2064
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:52:00+00,Reading,place-WR-0120,8,2,11,57,2065
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 11:10:00+00,Lowell,place-NHRML-0254,1,132,,132,2066
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 14:31:00+00,Whitman,place-PB-0212,7,1,4,8,2067
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 19:52:00+00,Abington,place-PB-0194,6,6,0,23,2068
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 22:57:00+00,Braintree,place-brntn,4,7,58,613,2069
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 22:57:00+00,Kingston,place-KB-0351,10,,139,,2070
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/01 23:45:00+00,Bradford,place-WR-0325,13,0,17,28,2071
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:11:00+00,Kingston,place-KB-0351,2,194,,194,2072
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 19:57:00+00,South Weymouth,place-PB-0158,7,6,0,29,2073
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:58:00+00,North Wilmington,place-WR-0163,9,0,0,57,2074
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 23:04:00+00,South Weymouth,place-PB-0158,5,0,125,488,2075
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 12:17:00+00,South Station,place-sstat,11,,656,,2076
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/01 23:46:00+00,Melrose Highlands,place-WR-0075,5,0,19,317,2077
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/01 14:36:00+00,Hanson,place-PB-0245,8,0,0,8,2078
2,Spring 2018,CR-Lowell,Lowell Line,0,day_type_01,weekday,2018/01/01 11:18:00+00,North Billerica,place-NHRML-0218,2,83,0,215,2079
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 20:05:00+00,Braintree,place-brntn,8,1,8,22,2080
